sent1,sent2,score
"The leaves have to be jagged and ""must"" be slightly ruffled.",For many indoor tropical plants life in the office is slow death.,0.0
A person swimming in water nearby rocks and a small waterfall.,A person floats in water near rocks and a waterfall.,0.0
<shrug> what's a person to do?,grrrr what the heck do i do?,1.0
The positive terminal has 1.5 V,Terminal 1 and the positive terminal are separated by the gap,0.0
The brown dog is running along a grassy pathway.,A brown dog is running along a grassy stretch divided by strings.,1.0
There is a processing fluency theory that explains it quite nicely.,Indicator of genetic fitness argument There is an evolutionary psychology argument.,0.0
North Korea conducts third nuclear test,North Korea Confirms Third Nuclear Test,1.0
"except, you have zero evidence that fox even played the clip until after the administration forced her to resign over it.","however, i might try to find someone with the means and skills to investigate the position because i do think it has merit.",0.0
I absolutely do believe there was an iceberg in those waters.,I don't believe there was any iceberg at all anywhere near the Titanic.,0.0
Pentagon to lift combat ban,Pentagon ends ban on women in combat,1.0
A black and white cat sleeping on its side on a purple blanket.,A black and white cat laying on the ground in the sun.,0.0
it is time to sweep newt into the dustbin.,but when it came to what i questioned?,0.0
the act of putting a preparation on something.,the act of stopping something.,0.0
6.8 quake strikes off Solomon Islands,Magnitude 6.3 quake strikes off Solomon Islands: USGS,1.0
Neither was there a qualified majority within this House to revert to Article 272.,It does not was not no longer a majority voting in this Parliament to return to the article 272.,1.0
myanmar was formerly known as burma. ,myanmar was formerly called burma.,1.0
"Here is the 2006 cover release, choice B in your question is the 2006 version.",Wikipedia's compilation of Time Travel Rules is a good resource to check about this subject.,0.0
Wisdom says broken heart is cured by another heart -- a new love definitely gets you over break-ups.,"3 years that is quite some time, but throw away everything that reminds you of her.",0.0
"The Dow Jones industrial average ended the day down 10.89 at 9,837.94, after advancing 111.04 Wednesday.","The Dow Jones industrial average fell 10.89 points, or 0.11 percent, to 9,837.94.",1.0
So Wang Lijun did build a surveillance network. - Chinese Party and Business Officials Fired in Sex Scandal,Chinese Officials Fired Over Sex Scandal,1.0
settlement of people distant from their homeland,a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government.,0.0
U.N. observer patrol arrives at Syria massacre site,UN observers reach Syria massacre village,1.0
A person is adding oil in the pan.,The cook pouring oil into the pan.,1.0
"It turned out to be not real GRB event, just a false alarm.","The caption for the graph in the article linked says ""Raw Data"".",0.0
She was the only woman in her unit and a member of Teamsters Local 995.,She was the only woman employed as a warehouse worker and heavy equipment operator and the only woman in her Teamsters local.,1.0
The damaged bulb creates a gap in the path.,a damaged bulb creates a gap,1.0
"""Fairies don't exist"" - fine.","""Satyrs don't exist"" - fine.",0.0
ISAF soldier killed in Afghan 'insider attack',British soldier shot dead in Afghan ‘insider attack’,1.0
restart or continue an activity after an interruption or pause,take up or begin anew.,0.0
Train going down the tracks.,Train gliding on tracks.,1.0
move into and stay in a particular position,concentrate on a particular place or spot.,0.0
A man is buttering bread.,A woman is ridint a horse.,0.0
Because there is a gap.,Terminals 1 and 2 are in the same electrical state,0.0
A yellow school bus is parked in a rural area.,A yellow school bus parked in a field.,1.0
"To answer your second question, they were definitely not named because of that capability, even if the capability existed.","No, there is no mention of them being designed to cling on to a saucer section.",0.0
A dog has run into the water to catch a ball in his mouth.,A dog running through water with a ball in its mouth,0.0
Great Britain is used to formally refer to the UK (including Northern Ireland) in a number of international associations.,"People use Great Britain, at least in my encounters, to talk about England proper (i.e.",0.0
when it creates an open path,When the switch and the bulb are contained in the same path,0.0
Many countries significantly reduced their debt by defaulting on it.,One of the provisions that the US made under the Articles of Confederation was the Land Ordinance of 1785.,0.0
spare in quality or quantity,limit in quality or quantity.,0.0
A dog holding a ring in his mouth is standing in a small river.,A dog with a ring in its mouth is standing in water.,0.0
Not in my diet but hamburger eaters should be aware *Horsemeat found in hamburgers in Britain & Ireland -,Horsemeat found in hamburgers in Britain and Ireland,1.0
